Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2016-08-18,17.77,39700.0,11.2(39.30 %),25400,995050000,0,0,39900.0,39900.0,36300.0
2016-08-19,16.78,37500.0,-1.7(-4.34 %),23700,906780000,0,0,39300.0,39300.0,37500.0
2016-08-22,16.11,36000.0,-2.3(-6.01 %),13400,490600000,0,0,38000.0,38000.0,36000.0
2016-08-23,15.58,34800.0,-1.8(-4.92 %),5000,176570000,0,0,36000.0,36000.0,34700.0
2016-08-24,15.67,35000.0,-0.3(-0.85 %),16000,558000000,0,0,34800.0,35000.0,34800.0
2016-08-25,15.62,34900.0,0(0.00 %),4100,142110000,0,0,34600.0,34900.0,34400.0
2016-08-26,15.53,34700.0,0(0.00 %),11400,390780000,0,0,34000.0,34700.0,33700.0
2016-08-29,15.58,34800.0,0.5(1.46 %),1100,38280000,0,0,34800.0,34800.0,34800.0
2016-08-30,15.44,34500.0,-0.3(-0.86 %),10210,344720000,0,0,34000.0,34500.0,33000.0
2016-08-31,15.44,34500.0,0.7(2.07 %),1100,37940000,0,0,34500.0,34500.0,34400.0
2016-09-01,15.49,34600.0,0.1(0.29 %),100,3460000,0,0,34600.0,34600.0,34600.0
2016-09-05,15.44,34500.0,-0.1(-0.29 %),3100,106200000,0,0,34500.0,34500.0,34000.0
2016-09-06,15.13,33800.0,-0.5(-1.46 %),9000,304200000,0,0,33800.0,33800.0,33800.0
2016-09-07,14.99,33500.0,-0.3(-0.89 %),500,16750000,0,0,33500.0,33500.0,33500.0
2016-09-08,14.99,33500.0,0(0.00 %),8800,293280000,0,0,33100.0,33500.0,33100.0
2016-09-09,15.13,33800.0,0.5(1.50 %),5000,169000000,0,0,33800.0,33800.0,33800.0
2016-09-12,15.13,33800.0,0(0.00 %),5000,168940000,0,0,33200.0,33800.0,33200.0
2016-09-13,15.22,34000.0,0.2(0.59 %),1000,34000000,0,0,34000.0,34000.0,34000.0
2016-09-14,14.99,33500.0,-0.5(-1.47 %),500,16750000,0,0,33500.0,33500.0,33500.0
2016-09-15,14.77,33000.0,-0.5(-1.49 %),100,3300000,0,0,33000.0,33000.0,33000.0
2016-09-16,15.22,34000.0,1(3.03 %),100,3400000,0,0,34000.0,34000.0,34000.0
2016-09-19,14.99,33500.0,-0.5(-1.47 %),4100,136550000,0,0,33500.0,33500.0,33000.0
2016-09-20,14.32,32000.0,-1.3(-3.90 %),1800,57920000,0,0,32500.0,32500.0,32000.0
2016-09-21,14.55,32500.0,0.3(0.93 %),500,16250000,0,0,32500.0,32500.0,32500.0
2016-09-22,14.32,32000.0,-0.5(-1.54 %),500,16000000,0,0,32000.0,32000.0,32000.0
2016-09-23,14.32,32000.0,0(0.00 %),0,0,0,0,32000.0,32000.0,32000.0
2016-09-26,14.32,32000.0,0(0.00 %),600,19200000,0,0,32000.0,32000.0,32000.0
2016-09-27,14.1,31500.0,-0.5(-1.56 %),500,15750000,0,0,31500.0,31500.0,31500.0
2016-09-28,14.77,33000.0,1.5(4.76 %),100,3300000,0,0,33000.0,33000.0,33000.0
2016-09-29,14.77,33000.0,0(0.00 %),0,0,0,0,33000.0,33000.0,33000.0
2016-09-30,14.77,33000.0,0(0.00 %),0,0,0,0,33000.0,33000.0,33000.0
2016-10-03,14.77,33000.0,0(0.00 %),0,0,0,0,33000.0,33000.0,33000.0
2016-10-04,13.88,31000.0,-2(-6.06 %),2000,62000000,0,0,31000.0,31000.0,31000.0
2016-10-05,13.88,31000.0,0(0.00 %),1200,37200000,0,0,31000.0,31000.0,31000.0
2016-10-06,14.1,31500.0,0.5(1.61 %),200,6200000,0,0,30500.0,31500.0,30500.0
2016-10-07,14.1,31500.0,0.5(1.61 %),100,3150000,0,0,31500.0,31500.0,31500.0
2016-10-10,13.83,30900.0,-0.6(-1.90 %),1000,30900000,0,0,30900.0,30900.0,30900.0
2016-10-11,13.7,30600.0,-0.3(-0.97 %),4700,145170000,0,0,30900.0,30900.0,30600.0
2016-10-12,13.79,30800.0,-0.1(-0.32 %),5000,154120000,0,0,31000.0,31000.0,30800.0
2016-10-13,13.88,31000.0,0.2(0.65 %),500,15500000,0,0,31000.0,31000.0,31000.0
2016-10-14,14.01,31300.0,0.3(0.97 %),500,15650000,0,0,31300.0,31300.0,31300.0
2016-10-17,13.65,30500.0,-0.8(-2.56 %),500,15250000,0,0,30500.0,30500.0,30500.0
2016-10-18,13.88,31000.0,0.5(1.64 %),2000,61250000,0,0,30500.0,31000.0,30500.0
2016-10-19,14.1,31500.0,0.9(2.94 %),2500,78750000,0,0,31500.0,31500.0,31500.0
2016-10-20,14.1,31500.0,0(0.00 %),1000,31500000,0,0,31500.0,31500.0,31500.0
2016-10-21,14.19,31700.0,0.2(0.63 %),1000,31600000,0,0,31500.0,31700.0,31500.0
2016-10-24,15.22,34000.0,2.4(7.59 %),400,13360000,0,0,31600.0,34000.0,31600.0
