Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2015-07-17,1.45,21000.0,-1(-4.55 %),25500,563230000,0,0,22200.0,24000.0,20000.0
2015-07-20,1.31,19000.0,-2(-9.52 %),2500,50380000,0,0,21500.0,21500.0,18900.0
2015-07-21,1.36,19800.0,0.8(4.21 %),11000,213000000,0,0,19000.0,19800.0,19000.0
2015-07-22,1.43,20800.0,1(5.05 %),23950,479585000,0,0,19800.0,20800.0,19800.0
2015-07-23,1.34,19500.0,-1.3(-6.25 %),11700,228920000,0,0,19500.0,19700.0,19500.0
2015-07-24,1.36,19800.0,0.3(1.54 %),6300,122950000,0,0,19500.0,19800.0,19400.0
2015-07-27,1.38,20000.0,0.2(1.01 %),4100,82180000,0,0,20000.0,20400.0,20000.0
2015-07-28,1.4,20300.0,0.3(1.50 %),7600,154690000,92,1656000,20000.0,20400.0,20000.0
2015-07-29,1.38,20100.0,-0.2(-0.99 %),6000,121380000,69,1262700,20000.0,20800.0,20000.0
2015-07-30,1.38,20100.0,0(0.00 %),700,14020000,0,0,20000.0,20100.0,20000.0
2015-07-31,1.38,20100.0,0(0.00 %),1000,20100000,0,0,20100.0,20100.0,20100.0
2015-08-03,1.41,20500.0,0.4(1.99 %),8000,163680000,0,0,20100.0,20500.0,20100.0
2015-08-04,1.43,20700.0,0.2(0.98 %),2200,45120000,0,0,20500.0,20700.0,20500.0
2015-08-05,1.45,21000.0,0.3(1.45 %),3300,69000000,0,0,20900.0,21000.0,20900.0
2015-08-06,1.45,21000.0,0(0.00 %),0,0,0,0,21000.0,21000.0,21000.0
2015-08-07,1.37,19900.0,-1.1(-5.24 %),100,1990000,0,0,19900.0,19900.0,19900.0
2015-08-10,1.38,20000.0,0.1(0.50 %),200,4000000,0,0,20000.0,20000.0,20000.0
2015-08-11,1.38,20000.0,0(0.00 %),0,0,0,0,20000.0,20000.0,20000.0
2015-08-12,1.38,20000.0,0(0.00 %),200,4000000,0,0,20000.0,20000.0,20000.0
2015-08-13,1.38,20000.0,0(0.00 %),700,14000000,0,0,20000.0,20000.0,20000.0
2015-08-14,1.38,20000.0,0(0.00 %),0,0,0,0,20000.0,20000.0,20000.0
2015-08-17,1.38,20000.0,0(0.00 %),2000,40000000,0,0,20000.0,20000.0,20000.0
2015-08-18,1.39,20200.0,0.2(1.00 %),1000,20200000,0,0,20200.0,20200.0,20200.0
2015-08-19,1.45,21000.0,0.8(3.96 %),3800,79300000,0,0,20500.0,21000.0,20500.0
2015-08-20,1.45,21000.0,0(0.00 %),0,0,0,0,21000.0,21000.0,21000.0
2015-08-21,1.45,21000.0,0(0.00 %),0,0,0,0,21000.0,21000.0,21000.0
2015-08-24,1.45,21000.0,0(0.00 %),1100,23100000,0,0,21000.0,21000.0,21000.0
2015-08-25,1.45,21100.0,0.1(0.48 %),24400,513300000,0,0,21000.0,21200.0,21000.0
2015-08-26,1.45,21100.0,0(0.00 %),0,0,0,0,21100.0,21100.0,21100.0
2015-08-27,1.46,21200.0,0.1(0.47 %),5000,106000000,0,0,21200.0,21200.0,21200.0
2015-08-28,1.51,22000.0,0.8(3.77 %),2100,46130000,0,0,21300.0,22000.0,21300.0
2015-08-31,1.55,22500.0,0.5(2.27 %),800,18000000,0,0,22500.0,22500.0,22500.0
2015-09-01,1.55,22500.0,0(0.00 %),0,0,0,0,22500.0,22500.0,22500.0
2015-09-03,1.51,22000.0,-0.5(-2.22 %),300,6600000,0,0,22000.0,22000.0,22000.0
2015-09-04,1.53,22200.0,0.2(0.91 %),2000,44250000,0,0,22100.0,22200.0,22100.0
2015-09-07,1.55,22500.0,0.3(1.35 %),1000,22500000,0,0,22500.0,22500.0,22500.0
2015-09-08,1.58,23000.0,0.5(2.22 %),900,20460000,0,0,21100.0,23000.0,21100.0
2015-09-09,1.58,23000.0,0(0.00 %),1600,36740000,0,0,22900.0,23000.0,22900.0
2015-09-10,1.55,22500.0,-0.5(-2.17 %),1000,22500000,0,0,22500.0,22500.0,22500.0
2015-09-11,1.62,23600.0,1.1(4.89 %),5100,117160000,0,0,21500.0,23600.0,21500.0
2015-09-14,1.62,23600.0,0(0.00 %),0,0,0,0,23600.0,23600.0,23600.0
2015-09-15,1.62,23600.0,0(0.00 %),0,0,0,0,23600.0,23600.0,23600.0
2015-09-16,1.62,23600.0,0(0.00 %),0,0,0,0,23600.0,23600.0,23600.0
2015-09-17,1.62,23600.0,0(0.00 %),0,0,0,0,23600.0,23600.0,23600.0
2015-09-18,1.57,22800.0,-0.8(-3.39 %),2400,54600000,0,0,22500.0,22800.0,22500.0
2015-09-21,1.57,22800.0,0(0.00 %),0,0,0,0,22800.0,22800.0,22800.0
2015-09-22,1.57,22800.0,0(0.00 %),0,0,0,0,22800.0,22800.0,22800.0
2015-09-23,1.57,22800.0,0(0.00 %),500,11400000,0,0,22800.0,22800.0,22800.0
2015-09-24,1.62,23500.0,0.7(3.07 %),100,2350000,0,0,23500.0,23500.0,23500.0
2015-09-25,1.62,23500.0,0(0.00 %),0,0,0,0,23500.0,23500.0,23500.0
2015-09-28,1.62,23500.0,0(0.00 %),0,0,0,0,23500.0,23500.0,23500.0
2015-09-29,1.62,23500.0,0(0.00 %),0,0,6000,135600000,23500.0,23500.0,23500.0
2015-09-30,1.62,23500.0,0(0.00 %),0,0,0,0,23500.0,23500.0,23500.0
2015-10-01,1.62,23500.0,0(0.00 %),0,0,37,784400,23500.0,23500.0,23500.0
2015-10-02,1.58,23000.0,-0.5(-2.13 %),10600,239700000,278,5893600,21500.0,23000.0,21300.0
2015-10-05,1.71,24900.0,1.9(8.26 %),1100,27200000,3200,68800000,23000.0,24900.0,23000.0
2015-10-06,1.71,24900.0,0(0.00 %),37,836200,0,0,24900.0,24900.0,24900.0
2015-10-07,1.58,22900.0,-2(-8.03 %),6500,148400000,0,0,22800.0,22900.0,22800.0
2015-10-08,1.65,24000.0,1.1(4.80 %),300,7190000,0,0,23900.0,24000.0,23900.0
2015-10-09,1.7,24700.0,0.7(2.92 %),500,12350000,0,0,24700.0,24700.0,24700.0
2015-10-12,1.7,24700.0,0(0.00 %),0,0,0,0,24700.0,24700.0,24700.0
2015-10-13,1.7,24700.0,0(0.00 %),0,0,0,0,24700.0,24700.0,24700.0
2015-10-14,1.57,22800.0,-1.9(-7.69 %),4900,111720000,0,0,22800.0,22800.0,22800.0
2015-10-15,1.57,22800.0,0(0.00 %),0,0,0,0,22800.0,22800.0,22800.0
2015-10-16,1.57,22800.0,0(0.00 %),0,0,0,0,22800.0,22800.0,22800.0
2015-10-19,1.67,24300.0,1.5(6.58 %),200,4500000,0,0,20700.0,24300.0,20700.0
2015-10-20,1.51,22000.0,-2.3(-9.47 %),100,2200000,0,0,22000.0,22000.0,22000.0
2015-10-21,1.51,22000.0,0(0.00 %),0,0,0,0,22000.0,22000.0,22000.0
2015-10-22,1.38,20000.0,-2(-9.09 %),100,2000000,0,0,20000.0,20000.0,20000.0
2015-10-23,1.38,20000.0,0(0.00 %),0,0,0,0,20000.0,20000.0,20000.0
2015-10-26,1.51,22000.0,2(10.00 %),100,2200000,0,0,22000.0,22000.0,22000.0
2015-10-27,1.51,22000.0,0(0.00 %),0,0,0,0,22000.0,22000.0,22000.0
2015-10-28,1.51,22000.0,0(0.00 %),0,0,0,0,22000.0,22000.0,22000.0
2015-10-29,1.51,22000.0,0(0.00 %),0,0,0,0,22000.0,22000.0,22000.0
2015-10-30,1.51,22000.0,0(0.00 %),0,0,0,0,22000.0,22000.0,22000.0
2015-11-02,1.51,22000.0,0(0.00 %),0,0,0,0,22000.0,22000.0,22000.0
2015-11-03,1.65,24000.0,2(9.09 %),100,2400000,0,0,24000.0,24000.0,24000.0
2015-11-04,1.65,24000.0,0(0.00 %),0,0,0,0,24000.0,24000.0,24000.0
2015-11-05,1.51,21900.0,-2.1(-8.75 %),500,10950000,0,0,21900.0,21900.0,21900.0
2015-11-06,1.51,21900.0,0(0.00 %),0,0,0,0,21900.0,21900.0,21900.0
2015-11-09,1.51,21900.0,0(0.00 %),0,0,0,0,21900.0,21900.0,21900.0
2015-11-10,1.51,21900.0,0(0.00 %),0,0,0,0,21900.0,21900.0,21900.0
2015-11-11,1.55,22500.0,0.6(2.74 %),100,2250000,0,0,22500.0,22500.0,22500.0
2015-11-12,1.55,22500.0,0(0.00 %),0,0,0,0,22500.0,22500.0,22500.0
2015-11-13,1.58,23000.0,0.5(2.22 %),100,2300000,0,0,23000.0,23000.0,23000.0
2015-11-16,1.58,23000.0,0(0.00 %),25600,588800000,0,0,23000.0,23000.0,23000.0
2015-11-17,1.58,23000.0,0(0.00 %),400,9200000,0,0,23000.0,23000.0,23000.0
2015-11-18,1.58,23000.0,0(0.00 %),100,2300000,0,0,23000.0,23000.0,23000.0
2015-11-19,1.58,23000.0,0(0.00 %),0,0,0,0,23000.0,23000.0,23000.0
2015-11-20,1.74,25300.0,2.3(10.00 %),400,10120000,0,0,25300.0,25300.0,25300.0
2015-11-23,1.74,25300.0,0(0.00 %),0,0,0,0,25300.0,25300.0,25300.0
