Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-02-27,9.22,12000,2(20.00 %),8330,100000000,0,0,12000,12000,12000
2017-02-28,9.83,12800,0.8(6.67 %),460,6000000,0,0,12800,12800,12800
2017-03-01,10.49,13650,0.85(6.64 %),880,12000000,0,0,13650,13650,13650
2017-03-02,11.22,14600,0.95(6.96 %),840,12000000,0,0,14600,14600,14600
2017-03-03,11.99,15600,1(6.85 %),490,8000000,0,0,15000,15600,15000
2017-03-06,12.79,16650,1.05(6.73 %),120,2000000,0,0,16650,16650,16650
2017-03-07,13.68,17800,1.15(6.91 %),370,7000000,0,0,17800,17800,17800
2017-03-08,14.6,19000,1.2(6.74 %),3510,67000000,0,0,19000,19000,19000
2017-03-09,15.6,20300,1.3(6.84 %),900,18000000,0,0,20300,20300,20300
2017-03-10,16.67,21700,1.4(6.90 %),420,9000000,0,0,21700,21700,21700
2017-03-13,17.82,23200,1.5(6.91 %),1560,36000000,0,0,23200,23200,23200
2017-03-14,19.05,24800,1.6(6.90 %),120,3000000,0,0,24800,24800,24800
2017-03-15,20.36,26500,1.7(6.85 %),440,12000000,0,0,26500,26500,26500
2017-03-16,21.78,28350,1.85(6.98 %),720,20000000,0,0,28350,28350,28350
2017-03-17,23.28,30300,1.95(6.88 %),1750,53000000,0,0,30300,30300,30300
2017-03-20,24.89,32400,2.1(6.93 %),1310,42000000,0,0,32400,32400,32400
2017-03-21,26.62,34650,2.25(6.94 %),1970,68000000,0,0,34650,34650,34650
2017-03-22,28.46,37050,2.4(6.93 %),2440,90000000,0,0,37050,37050,37050
2017-03-23,28.81,37500,0.45(1.21 %),54520,2142000000,0,0,39600,39600,37100
2017-03-24,26.89,35000,-2.5(-6.67 %),2770,97000000,0,0,37500,37500,34900
2017-03-27,25.01,32550,-2.45(-7.00 %),600,20000000,0,0,35000,35000,32550
2017-03-28,23.28,30300,-2.25(-6.91 %),40,1000000,0,0,30300,30300,30300
2017-03-29,21.67,28200,-2.1(-6.93 %),10,0,0,0,28200,28200,28200
2017-03-30,20.17,26250,-1.95(-6.91 %),50,1000000,0,0,26250,26250,26250
2017-03-31,18.78,24450,-1.8(-6.86 %),2850,70000000,0,0,24450,24450,24450
2017-04-03,18.78,24450,0(0.00 %),0,0,0,0,24450,24450,24450
2017-04-04,17.48,22750,-1.7(-6.95 %),300,7000000,0,0,22750,22750,22750
2017-04-05,16.29,21200,-1.55(-6.81 %),490,10000000,0,0,21200,21200,21200
2017-04-07,15.17,19750,-1.45(-6.84 %),10,0,0,0,19750,19750,19750
2017-04-10,15.17,19750,0(0.00 %),0,0,0,0,19750,19750,19750
2017-04-11,14.14,18400,-1.35(-6.84 %),130,2000000,0,0,18400,18400,18400
2017-04-12,14.14,18400,0(0.00 %),6390,110000000,0,0,17150,18400,17150
2017-04-13,15.06,19600,1.2(6.52 %),2440,45000000,0,0,17150,19650,17150
