Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-12-01,5.6,27100.0,5.1(23.18 %),254500,6538440000,0,0,22000.0,28500.0,22000.0
2010-12-02,5.66,27400.0,1.7(6.61 %),24700,676780000,115000,2760000000,27400.0,27400.0,27400.0
2010-12-03,6.05,29300.0,1.9(6.93 %),19500,571350000,0,0,29300.0,29300.0,29300.0
2010-12-06,6.47,31300.0,2(6.83 %),54500,1705850000,35000,1055500000,31300.0,31300.0,31300.0
2010-12-07,6.9,33400.0,2.1(6.71 %),126900,4238460000,0,0,33400.0,33400.0,33400.0
2010-12-08,7.38,35700.0,2.3(6.89 %),665700,23757090000,0,0,35700.0,35700.0,35000.0
2010-12-09,7.85,38000.0,2.3(6.44 %),421800,15496620000,0,0,38000.0,38100.0,34500.0
2010-12-10,8.1,39200.0,2.5(6.81 %),122600,4800240000,0,0,39000.0,39200.0,38100.0
2010-12-13,8.66,41900.0,2.7(6.89 %),156700,6564080000,0,0,41900.0,41900.0,41300.0
2010-12-14,8.68,42000.0,0.1(0.24 %),341500,14492820000,5550,216450000,44500.0,44500.0,40000.0
2010-12-15,8.37,40500.0,-1.9(-4.48 %),201300,8318470000,0,0,42900.0,43000.0,39600.0
2010-12-16,8.16,39500.0,-1.8(-4.36 %),221100,8879280000,0,0,39600.0,41300.0,38500.0
2010-12-17,8.68,42000.0,1.8(4.48 %),153400,6373450000,0,0,39000.0,42800.0,39000.0
2010-12-20,8.0,38700.0,-2.8(-6.75 %),160300,6312120000,0,0,40100.0,40500.0,38700.0
2010-12-21,7.89,38200.0,-1.2(-3.05 %),101400,3845930000,0,0,39000.0,39000.0,36800.0
2010-12-22,7.65,37000.0,-0.9(-2.37 %),106100,4003200000,0,0,39000.0,39000.0,37000.0
2010-12-23,7.67,37100.0,-0.6(-1.59 %),96900,3509950000,30000,1095000000,36200.0,37100.0,35300.0
2010-12-24,7.85,38000.0,1.8(4.97 %),100600,3857550000,46000,1771000000,36500.0,38700.0,36300.0
2010-12-27,7.94,38400.0,0.1(0.26 %),61400,2364400000,0,0,37500.0,40000.0,37500.0
2010-12-28,7.96,38500.0,0(0.00 %),47800,1809160000,0,0,36000.0,38800.0,36000.0
2010-12-29,7.77,37600.0,-0.2(-0.53 %),117500,4474970000,100000,3850000000,38500.0,38900.0,37600.0
2010-12-30,7.75,37500.0,-0.6(-1.57 %),62300,2337940000,0,0,37200.0,38200.0,37200.0
2010-12-31,8.27,40000.0,2.5(6.67 %),294200,11504620000,0,0,38000.0,40100.0,37700.0
2011-01-04,8.64,41800.0,2.7(6.91 %),160100,6659210000,0,0,39800.0,41800.0,39200.0
2011-01-05,8.78,42500.0,0.9(2.16 %),240600,10196950000,40000,1720000000,42700.0,43800.0,41900.0
2011-01-06,8.62,41700.0,-0.7(-1.65 %),162000,6755040000,0,0,42500.0,42500.0,40900.0
2011-01-07,8.37,40500.0,-1.2(-2.88 %),180900,7458570000,0,0,41800.0,42000.0,40200.0
2011-01-10,8.18,39600.0,-1.6(-3.88 %),129800,5262630000,0,0,41200.0,41800.0,39300.0
2011-01-11,8.06,39000.0,-1.5(-3.70 %),136900,5382950000,0,0,40000.0,40400.0,38800.0
2011-01-12,8.1,39200.0,-0.1(-0.25 %),160400,6341820000,9000,351000000,41000.0,41000.0,39000.0
2011-01-13,8.16,39500.0,0(0.00 %),132800,5242110000,0,0,39100.0,39900.0,39000.0
2011-01-14,8.2,39700.0,0.2(0.51 %),108400,4301270000,0,0,39500.0,40000.0,39500.0
2011-01-17,8.39,40600.0,0.9(2.27 %),125300,5048590000,0,0,39700.0,41500.0,39700.0
2011-01-18,8.16,39500.0,-0.8(-1.99 %),56800,2289150000,0,0,40400.0,40600.0,39500.0
2011-01-19,8.27,40000.0,-0.3(-0.74 %),134400,5396980000,0,0,40000.0,41000.0,39700.0
2011-01-20,8.2,39700.0,-0.5(-1.24 %),103700,4125150000,0,0,40000.0,40000.0,39000.0
2011-01-21,8.27,40000.0,0.2(0.50 %),180500,7205520000,0,0,39800.0,40400.0,39500.0
2011-01-24,8.2,39700.0,-0.2(-0.50 %),145900,5791370000,9000,369000000,39900.0,40400.0,39300.0
2011-01-25,8.2,39700.0,0(0.00 %),23700,933840000,0,0,40000.0,40000.0,39100.0
2011-01-26,8.47,41000.0,1.6(4.06 %),83700,3434620000,92500,3746250000,39500.0,42000.0,39500.0
2011-01-27,8.89,43000.0,2(4.88 %),153200,6491770000,127000,5334000000,41000.0,43500.0,41000.0
2011-01-28,8.93,43200.0,0.8(1.89 %),93100,4030970000,100000,4300000000,43000.0,44900.0,42500.0
2011-02-08,8.89,43000.0,-0.3(-0.69 %),40900,1764900000,0,0,42000.0,44000.0,42000.0
2011-02-09,8.93,43200.0,0(0.00 %),93500,4052060000,73000,3147000000,43000.0,44000.0,42900.0
