Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-09-09,30.0,30000.0,5(20.00 %),26500,795000000,0,0,30000.0,30000.0,30000.0
2009-09-10,31.5,31500.0,1.5(5.00 %),13130,413595000,0,0,31500.0,31500.0,31500.0
2009-09-11,33.0,33000.0,1.5(4.76 %),19320,637560000,0,0,33000.0,33000.0,33000.0
2009-09-14,34.6,34600.0,1.6(4.85 %),13120,453952000,0,0,34600.0,34600.0,34600.0
2009-09-15,36.3,36300.0,1.7(4.91 %),17860,648318000,0,0,36300.0,36300.0,36300.0
2009-09-16,38.1,38100.0,1.8(4.96 %),4000,152400000,0,0,38100.0,38100.0,38100.0
2009-09-17,40.0,40000.0,1.9(4.99 %),174490,6979600000,0,0,40000.0,40000.0,40000.0
2009-09-18,42.0,42000.0,2(5.00 %),259560,10901520000,0,0,42000.0,42000.0,42000.0
2009-09-21,44.1,44100.0,2.1(5.00 %),18070,796887000,0,0,44100.0,44100.0,44100.0
2009-09-22,46.3,46300.0,2.2(4.99 %),38540,1784402000,0,0,46300.0,46300.0,46300.0
2009-09-23,48.6,48600.0,2.3(4.97 %),30670,1490562000,0,0,48600.0,48600.0,48600.0
2009-09-24,51.0,51000.0,2.4(4.94 %),59160,3017160000,0,0,51000.0,51000.0,51000.0
2009-09-25,53.5,53500.0,2.5(4.90 %),98470,5268145000,0,0,53500.0,53500.0,53500.0
2009-09-28,56.0,56000.0,2.5(4.67 %),16500,924000000,30000,1530000000,56000.0,56000.0,56000.0
2009-09-29,58.5,58500.0,2.5(4.46 %),24000,1404000000,0,0,58500.0,58500.0,58500.0
2009-09-30,61.0,61000.0,2.5(4.27 %),37740,2302140000,0,0,61000.0,61000.0,61000.0
2009-10-01,58.0,58000.0,-3(-4.92 %),85570,5282880000,0,0,64000.0,64000.0,58000.0
2009-10-02,55.5,55500.0,-2.5(-4.31 %),5540,307470000,90000,4995000000,55500.0,55500.0,55500.0
2009-10-05,53.0,53000.0,-2.5(-4.50 %),3180,168540000,0,0,53000.0,53000.0,53000.0
2009-10-06,50.5,50500.0,-2.5(-4.72 %),6760,341380000,0,0,50500.0,50500.0,50500.0
2009-10-07,48.1,48100.0,-2.4(-4.75 %),274690,13379466000,0,0,48000.0,53000.0,48000.0
2009-10-08,50.5,50500.0,2.4(4.99 %),129200,6515535000,0,0,50500.0,50500.0,50000.0
2009-10-09,53.0,53000.0,2.5(4.95 %),65070,3448710000,0,0,53000.0,53000.0,53000.0
2009-10-12,55.5,55500.0,2.5(4.72 %),167280,9203365000,0,0,55000.0,55500.0,53000.0
2009-10-13,53.0,53000.0,-2.5(-4.50 %),119370,6381045000,0,0,53500.0,55000.0,53000.0
2009-10-14,53.0,53000.0,0(0.00 %),110640,5757145000,0,0,51000.0,53500.0,51000.0
2009-10-15,52.0,52000.0,-1(-1.89 %),74110,3914840000,0,0,54000.0,54000.0,52000.0
2009-10-16,50.0,50000.0,-2(-3.85 %),79030,3979715000,0,0,50500.0,51500.0,50000.0
2009-10-19,48.3,48300.0,-1.7(-3.40 %),78220,3771815000,0,0,48300.0,49000.0,48000.0
2009-10-20,50.5,50500.0,2.2(4.55 %),37090,1870495000,0,0,50500.0,50500.0,50000.0
2009-10-21,52.0,52000.0,1.5(2.97 %),51120,2674285000,0,0,52500.0,53000.0,50000.0
2009-10-22,49.4,49400.0,-2.6(-5.00 %),48690,2405652000,0,0,49400.0,49600.0,49400.0
2009-10-23,47.0,47000.0,-2.4(-4.86 %),56380,2649860000,0,0,47000.0,47000.0,47000.0
2009-10-26,44.7,44700.0,-2.3(-4.89 %),31660,1415202000,0,0,44700.0,44700.0,44700.0
2009-10-27,42.5,42500.0,-2.2(-4.92 %),9200,391000000,0,0,42500.0,42500.0,42500.0
2009-10-28,40.5,40500.0,-2(-4.71 %),102110,4155087000,0,0,40400.0,42000.0,40400.0
2009-10-29,38.5,38500.0,-2(-4.94 %),26000,1001270000,0,0,38500.0,39000.0,38500.0
2009-10-30,38.9,38900.0,0.4(1.04 %),34900,1344926000,0,0,38500.0,39000.0,38000.0
2009-11-02,37.0,37000.0,-1.9(-4.88 %),8750,323750000,0,0,37000.0,37000.0,37000.0
2009-11-03,35.2,35200.0,-1.8(-4.86 %),5650,198880000,0,0,35200.0,35200.0,35200.0
2009-11-04,33.5,33500.0,-1.7(-4.83 %),12170,407695000,0,0,33500.0,33500.0,33500.0
2009-11-05,35.1,35100.0,1.6(4.78 %),60930,2009972000,0,0,31900.0,35100.0,31900.0
2009-11-06,34.1,34100.0,-1(-2.85 %),21930,773742000,0,0,36000.0,36000.0,34100.0
2009-11-09,32.5,32500.0,-1.6(-4.69 %),11840,383808000,0,0,32400.0,32500.0,32400.0
2009-11-10,30.9,30900.0,-1.6(-4.92 %),19000,604989000,0,0,33800.0,33800.0,30900.0
2009-11-11,31.9,31900.0,1(3.24 %),23410,698739000,0,0,30000.0,32000.0,29500.0
2009-11-12,33.4,33400.0,1.5(4.70 %),19860,663116000,0,0,33400.0,33400.0,33000.0
2009-11-13,35.0,35000.0,1.6(4.79 %),34600,1210760000,0,0,35000.0,35000.0,34800.0
2009-11-16,36.7,36700.0,1.7(4.86 %),16390,601513000,0,0,36700.0,36700.0,36700.0
2009-11-17,38.5,38500.0,1.8(4.90 %),3150,121275000,0,0,38500.0,38500.0,38500.0
2009-11-18,40.4,40400.0,1.9(4.94 %),96140,3877958000,0,0,40400.0,40400.0,39000.0
2009-11-19,42.4,42400.0,2(4.95 %),63410,2684346000,0,0,42400.0,42400.0,41000.0
2009-11-20,40.3,40300.0,-2.1(-4.95 %),48950,2066275000,0,0,44400.0,44400.0,40300.0
2009-11-23,38.3,38300.0,-2(-4.96 %),25850,990478000,0,0,38300.0,38400.0,38300.0
2009-11-24,36.4,36400.0,-1.9(-4.96 %),21830,801955000,0,0,37100.0,39000.0,36400.0
2009-11-25,34.6,34600.0,-1.8(-4.95 %),26640,922745000,0,0,34700.0,34700.0,34600.0
2009-11-26,32.9,32900.0,-1.7(-4.91 %),4880,160552000,0,0,32900.0,32900.0,32900.0
2009-11-27,34.5,34500.0,1.6(4.86 %),42240,1361646000,0,0,31300.0,34500.0,31300.0
2009-11-30,33.7,33700.0,-0.8(-2.32 %),6400,224921000,0,0,33600.0,36200.0,33600.0
2009-12-01,35.0,35000.0,1.3(3.86 %),13690,475849000,0,0,34800.0,35000.0,34000.0
2009-12-02,33.3,33300.0,-1.7(-4.86 %),23820,796162000,0,0,34000.0,34000.0,33300.0
2009-12-03,33.9,33900.0,0.6(1.80 %),7130,234764000,0,0,32000.0,34600.0,31800.0
2009-12-04,33.4,33400.0,-0.5(-1.47 %),6000,199255000,0,0,32500.0,33700.0,32400.0
2009-12-07,33.0,33000.0,-0.4(-1.20 %),1900,63269000,0,0,32400.0,34300.0,32400.0
2009-12-08,32.0,32000.0,-1(-3.03 %),7110,226288000,0,0,31800.0,32400.0,31500.0
2009-12-09,30.4,30400.0,-1.6(-5.00 %),9050,275120000,0,0,30400.0,30400.0,30400.0
2009-12-10,29.1,29100.0,-1.3(-4.28 %),18430,542598000,0,0,29300.0,31700.0,29100.0
2009-12-11,27.7,27700.0,-1.4(-4.81 %),20040,558626000,0,0,29100.0,29100.0,27700.0
2009-12-14,29.0,29000.0,1.3(4.69 %),17160,493734000,0,0,26700.0,29000.0,26700.0
2009-12-15,29.5,29500.0,0.5(1.72 %),12210,360012000,0,0,29500.0,29500.0,29200.0
2009-12-16,28.1,28100.0,-1.4(-4.75 %),10830,307143000,0,0,28200.0,30000.0,28100.0
2009-12-17,26.7,26700.0,-1.4(-4.98 %),9390,251643000,0,0,26700.0,28100.0,26700.0
2009-12-18,28.0,28000.0,1.3(4.87 %),10400,290070000,0,0,27700.0,28000.0,27000.0
2009-12-21,29.4,29400.0,1.4(5.00 %),3250,95399000,0,0,29400.0,29400.0,29300.0
2009-12-22,30.3,30300.0,0.9(3.06 %),4870,147834000,0,0,30700.0,30700.0,29000.0
2009-12-23,29.5,29500.0,-0.8(-2.64 %),14910,455159000,40000,1152000000,31500.0,31500.0,29500.0
2009-12-24,29.0,29000.0,-0.5(-1.69 %),17800,512474000,0,0,28500.0,29000.0,28400.0
2009-12-25,30.4,30400.0,1.4(4.83 %),34200,1039680000,0,0,30400.0,30400.0,30400.0
2009-12-28,30.4,30400.0,0(0.00 %),17500,538097000,0,0,31600.0,31600.0,30400.0
2009-12-29,29.1,29100.0,-1.3(-4.28 %),8260,243909000,0,0,30100.0,30100.0,29100.0
